"","0.125","0.25","0.5","1","2"
"MSTRG.1626.A",-1.17905817840442,-1.1391099640995,-0.789796794369683,-0.0800425311333286,0.571515962478745
"MSTRG.1627.A",-0.876284285555611,0.0676525759621212,0.377379411785647,1.64242816352974,2.06436910120665
"MSTRG.1632.A",-0.0110077374016877,-0.020232989879038,0.549207128491405,1.20314394270975,1.70963614760407
"MSTRG.1642.A",-0.0637100638401314,0.336962968500544,0.643313568160178,1.29108576139047,0.049458317061026
"MSTRG.1652.A",-0.00369429168271939,0.401246953299693,0.625328860140453,0.618631753017336,1.68457129065919
"MSTRG.1666.A",0.586247122874552,0.125584042320783,0.356705854100596,-0.69457470325021,-1.175473598827
"MSTRG.1666.B",-0.699259054430945,-1.21556379726866,-1.0688370777372,-0.793617646303921,-0.0982465882611287
"MSTRG.1669.A",0.0670459253384596,0.256391523066582,0.593336718031042,1.47169834054573,3.13706270220515
"MSTRG.1675.A",0.615746059732043,0.930223670025332,0.306941897725017,0.170375200528052,1.7826772291004
"MSTRG.1680.B",-1.33967438638539,-1.13254201884926,-0.952163352720107,-0.927810301970424,-0.18835812778484
"MSTRG.1684.5",-0.478020068995024,-0.0503613575819964,-0.312302252608562,0.992625643615993,1.23853267780608
"MSTRG.1702.9",0.0394697770097374,-0.158399876165047,-0.47239033664356,-1.52150263850919,-1.91688629334541
"MSTRG.1711.A",-0.409158734240765,0.166935631167183,1.23563741925867,1.98103389755258,2.31419730193311
"MSTRG.1713.A",-1.10496033555197,-0.815191547402069,0.572523141374086,0.573001957965427,1.07990002143122
"MSTRG.1715.A",0.161576343457768,0.633551533771865,1.56227078988614,2.13702474726026,3.16868242026402
"MSTRG.1721.1",-0.973726683581859,-0.512559472773932,0.670741082496098,0.475060028406599,-1.19201580115163
"MSTRG.1724.16",-0.601914566819396,-0.811561183050159,-1.19491510617731,-1.31232659581071,-0.451644514176954
"MSTRG.1754.B",-1.37853179941012,-1.30952679037776,-0.467588395217321,-0.246002857678013,2.19593168068184
"MSTRG.1759.11",-0.767931256622266,-0.618132595825145,-1.30028436131682,-0.794018642044986,-0.239674264076442
"MSTRG.1761.A",-0.276064546546874,-0.698988130080546,1.20412688709168,2.38262263122759,3.39916476300202
"MSTRG.1762.3",-1.84187913118902,-1.47250361095562,-0.858367572753315,-1.09765492263012,-0.804581069915548
"MSTRG.1782.A",-0.867548695142703,-1.32433932920016,-0.718370809242396,-0.30309238697989,0.334488756204508
"MSTRG.18.1",-0.301398679744054,-0.635693630841834,-0.712551275898356,0.362524065432847,1.04887656989201
"MSTRG.1838.7",-0.128145595886181,-0.221013992599692,0.339934472343192,1.07783831024139,1.33933174512679
"MSTRG.1844.C",0.325311963245971,0.2845102021589,0.693114380444915,0.158472057074876,-1.48962259863005
"MSTRG.1853.B",-0.773119412982765,-1.00021385557658,-0.0801699074086871,0.0474483753233109,1.12120161327872
"MSTRG.1873.B",-1.52673053431107,-1.20126889418842,-1.45787881791995,-0.726962380413453,-0.338774735730717
"MSTRG.1887.2",-0.2864101592452,0.52762806300252,1.51596872437117,0.972638641155897,-1.40827753311948
"MSTRG.1915.28",-0.230537132593189,0.0553720232411988,-0.156305431364581,-0.198405999508506,-1.03806703448605
"MSTRG.1917.17",0.136743037861111,0.0132943960713002,-0.530973857111135,-1.1798970795682,-1.9347325999655
"MSTRG.1922.A",0.516817731726809,-0.402009232093681,1.48880802610677,2.20719730448703,1.91311743030428
"MSTRG.1952.A",-0.144481410427509,-0.433566109423847,0.662701091211602,1.50049614246184,2.24110328631723
"MSTRG.200.13",-0.0751189680985674,-0.534059627050929,-0.906111522346098,-1.00166831968129,-0.820741975640924
"MSTRG.2033.24",0.446024428925851,0.725138638739767,1.73416186174594,2.0717677164356,2.45130483240754
"MSTRG.2045.12",-0.538525237524094,-0.379340844992373,-0.537410025322697,-0.706382067799654,-1.13354073034271
"MSTRG.2045.25",-0.36528758344327,0.103206692206348,0.255385593467297,0.622585749922746,1.79678233744057
"MSTRG.2046.37",-0.0233472443071937,-0.14726464385108,0.564709477801786,1.03708038098124,1.01399113896411
"MSTRG.2048.16",-0.292622077060964,-0.795826964673829,-1.65869963244999,-3.05115487906738,-5.0425397795743
"MSTRG.2049.A",-0.470986999799545,-0.770782367695748,-0.529807500704925,0.312342250417457,1.26008210047578
"MSTRG.2073.A",0.170606090561407,-0.294495728737947,-1.02970251308672,-0.119534001371868,1.9765248204866
"MSTRG.2075.A",0.0539909582593997,0.272067808809245,0.367981388111897,0.887071612891468,1.65268551906021
"MSTRG.2077.A",0.337516702306342,-0.234485357498312,0.871560005010655,2.2525597241183,4.89250466222544
"MSTRG.2077.B",0.658670077003219,1.10460715552783,1.69942280215337,1.52664346799201,2.67517369077819
"MSTRG.2097.A",-0.715499880575773,-0.716749736776758,-0.721441934364546,-1.69937404568425,-2.18515458395306
"MSTRG.2097.B",0.0709919938223052,0.211643072605197,-0.430779671918954,-1.04750185579202,-1.2370969957944
